city,outcome,label,value,n_value
Prague,More than 2% faster,35,2.8313756219849107,344
Prague,More than 2% slower,35,6.006707508639653,639
Prague,Within 2%,35,3.404899688274332,201
Rotterdam,More than 2% faster,35,2.3149436090225572,9242
Rotterdam,More than 2% slower,35,8.477622778520931,10573
Rotterdam,Within 2%,35,3.3608280945155,6919
Sydney,More than 2% faster,35,4.061722151296932,408
Sydney,More than 2% slower,35,8.103822448283605,340
Sydney,Within 2%,35,5.198719202190061,195
Valencia,More than 2% faster,35,1.8951278498974156,4024
Valencia,More than 2% slower,35,7.281774711387401,3655
Valencia,Within 2%,35,2.765341662417131,2956
Warsaw,More than 2% faster,35,2.943919424891406,2061
Warsaw,More than 2% slower,35,9.326793467182359,1818
Warsaw,Within 2%,35,4.1632653061224545,1123
Washington,More than 2% faster,35,4.80119396582539,13903
Washington,More than 2% slower,35,9.805646958093327,19978
Washington,Within 2%,35,5.825790892683102,7928
Amsterdam,More than 2% faster,40,4.5667841089701895,5448
Amsterdam,More than 2% slower,40,10.87751073229567,5400
Amsterdam,Within 2%,40,6.042194016319136,3297
Auckland,More than 2% slower,40,9.412490346762835,106
Austin,More than 2% faster,40,7.120634676114945,501
Austin,More than 2% slower,40,13.308804261311447,313
Austin,Within 2%,40,7.431455200169457,223
Berlin,More than 2% faster,40,5.860435606060599,41593
Berlin,More than 2% slower,40,12.272567344694885,46317
Berlin,Within 2%,40,7.227625633107026,26502
Boston,More than 2% faster,40,2.0909383624655,7021
Boston,More than 2% slower,40,7.638016309165052,10069
Boston,Within 2%,40,2.742679371475454,5582
Chicago,More than 2% faster,40,6.2510780840905555,4395
Chicago,More than 2% slower,40,12.641597055902798,4359
Chicago,Within 2%,40,7.435486341587949,2311
Copenhagen,More than 2% faster,40,5.369859508146602,8078
Copenhagen,More than 2% slower,40,13.64200773416342,7674
Copenhagen,Within 2%,40,7.832504916860361,4065
Eindhoven,More than 2% faster,40,4.972012438916029,1501
Eindhoven,More than 2% slower,40,12.128095975232188,1299
Eindhoven,Within 2%,40,6.037630378096459,1005
Gold Coast,More than 2% faster,40,8.910119896593205,1644
Gold Coast,More than 2% slower,40,16.86076331685886,1567
Gold Coast,Within 2%,40,9.45851658591128,909
Helsinki,More than 2% faster,40,4.453308823529412,367
Helsinki,More than 2% slower,40,8.258625218914183,839
Helsinki,Within 2%,40,5.387949588935825,350
London,More than 2% faster,40,4.9307075566245695,11447
London,More than 2% slower,40,9.28869250266845,13720
London,Within 2%,40,5.133281956624359,6896
Madrid,More than 2% faster,40,7.530123775533459,1447
Madrid,More than 2% slower,40,12.99442504696129,2978
Madrid,Within 2%,40,8.11033817756044,1329
New York,More than 2% faster,40,7.438431715249649,21390
New York,More than 2% slower,40,11.51154774215788,22741
New York,Within 2%,40,7.901174050904092,10595
Oslo,More than 2% faster,40,8.971895470383284,475
Oslo,More than 2% slower,40,13.048766289610501,510
Oslo,Within 2%,40,10.654262457523911,322
Paris,More than 2% faster,40,6.385200731320717,440
Paris,More than 2% slower,40,12.251965130008081,196
Paris,Within 2%,40,8.393174372042234,125
Prague,More than 2% faster,40,7.880024117533624,344
Prague,More than 2% slower,40,12.87532631578947,639
Prague,Within 2%,40,9.750664242763252,201
Rotterdam,More than 2% faster,40,6.92255331038406,9242
Rotterdam,More than 2% slower,40,14.072993739328421,10573
Rotterdam,Within 2%,40,8.602204395308078,6919
Sydney,More than 2% faster,40,8.552689169263884,408
Sydney,More than 2% slower,40,15.181074123802007,340
Sydney,Within 2%,40,9.883390298409367,195
Valencia,More than 2% faster,40,2.6747161616067494,4024
Valencia,More than 2% slower,40,11.002916046092338,3655
Valencia,Within 2%,40,3.9251119409533852,2956
Warsaw,More than 2% faster,40,5.785206961429923,2061
Warsaw,More than 2% slower,40,14.072130965231821,1818
Warsaw,Within 2%,40,8.14433309684286,1123
Washington,More than 2% faster,40,10.267228661749206,13903
Washington,More than 2% slower,40,15.89521997488954,19978
Washington,Within 2%,40,11.4872091919915,7928
Amsterdam,More than 2% faster,42.195,4.308647846933256,5448
Amsterdam,More than 2% slower,42.195,8.697540831465744,5400
Amsterdam,Within 2%,42.195,5.374754373454738,3297
Auckland,More than 2% slower,42.195,2.733980838863137,106
Austin,More than 2% faster,42.195,7.018146387372792,501
Austin,More than 2% slower,42.195,9.642944293479783,313
Austin,Within 2%,42.195,6.788881342904651,223
Berlin,More than 2% faster,42.195,2.352808305718024,41593
Berlin,More than 2% slower,42.195,6.102269029376073,46317
Berlin,Within 2%,42.195,3.42739882845976,26502
Boston,More than 2% faster,42.195,1.6971122051583576,7021
Boston,More than 2% slower,42.195,6.073318229486313,10069
Boston,Within 2%,42.195,2.2900527172628804,5582
Chicago,More than 2% faster,42.195,2.2532661838999157,4395
Chicago,More than 2% slower,42.195,5.196894805886965,4359
Chicago,Within 2%,42.195,3.329966240783633,2311
Copenhagen,More than 2% faster,42.195,2.5672971436292658,8078
Copenhagen,More than 2% slower,42.195,7.411665129569744,7674
Copenhagen,Within 2%,42.195,4.431371524433847,4065
Eindhoven,More than 2% faster,42.195,2.7025310929972512,1501
Eindhoven,More than 2% slower,42.195,6.072880871905073,1299
Eindhoven,Within 2%,42.195,3.7306448658938285,1005
Gold Coast,More than 2% faster,42.195,4.206951832901284,1644
Gold Coast,More than 2% slower,42.195,7.645963689387414,1567
Gold Coast,Within 2%,42.195,4.973718866506327,909
Helsinki,More than 2% faster,42.195,5.0470456069305225,367
Helsinki,More than 2% slower,42.195,6.835890221719865,839
Helsinki,Within 2%,42.195,5.484769025600855,350
London,More than 2% faster,42.195,3.35271897344791,11447
London,More than 2% slower,42.195,5.750337291939889,13720
